Id,city,age,sex,social_class,primary_business,secondary_business,annual_income,monthly_expenses,old_dependents,young_dependents,home_ownership,type_of_house,occupants_count,house_area,sanitary_availability,water_availabity,loan_purpose,loan_tenure,loan_installments,loan_amount
1,Dhanbad,22,F,Mochi,Tailoring,Others,36000,5000,0,2,1,R,4,70,1,0.5,Apparels,12,12,5000
2,Manjapra,21,F,OBC,Tailoring,none,94000,3600,1,1,1,T1,4,80,1,0.5,Apparels,12,50,7500
3,Dhanbad,24,M,Nai,Beauty salon,Others,48000,4000,0,2,1,T1,4,50,1,0.5,Beauty Salon,12,12,5000
4,,26,F,OBC,Tailoring,none,7000,5000,0,2,1,T1,5,50,1,0.5,Apparels,12,50,7500
5,Nuapada,23,F,OBC,General store,Agriculture,36000,3500,0,0,1,T1,1,112,1,0.5,Retail Store,12,12,5000
6,Nuapada,23,F,OBC,General store,none,36000,3500,0,0,1,T1,1,112,1,0.5,Retail Store,12,12,5000
7,Dhanbad,22,F,Muchi,Tailoring,Others,36000,3000,0,1,1,T1,3,60,1,0.5,Apparels,12,12,5000
8,,28,F,OBC,Tailoring,none,7000,5000,0,2,1,T1,5,40,1,0.5,Apparels,12,50,7500
9,Dhanbad,38,F,Muchi,Puffed rice business,Others,36000,5000,0,2,1,T1,5,50,1,0.5,Eateries,12,12,5000
10,Dhanbad,25,F,Muchi,General store,Others,36000,5000,0,3,1,R,5,50,1,0.5,Retail Store,12,12,5000
11,,25,F,OBC,Poultry farm,Daily wage labourer,40000,3000,0,0,1,T1,1,110,1,0.5,Meat Businesses,12,12,5000
12,Dhanbad,26,F,Muchi,Puffed rice business,Others,60000,5000,0,3,1,R,5,50,1,0.5,Eateries,12,12,5000
13,,34,F,OBC,Tailoring,none,95000,5200,1,4,1,T1,7,50,1,0.5,Apparels,12,50,7500
14,Dhanbad,37,F,Muchi,Tailoring,Others,36000,5000,0,3,1,R,5,60,1,0.5,Apparels,12,12,5000
15,Dhanbad,50,F,Kusbaha,General store,Others,42000,3500,0,0,0,T1,4,40,1,0.5,Retail Store,12,12,5000
16,Dhanbad,54,M,Rajput,Tea stall,Others,48000,4000,0,1,0,R,5,50,1,0.5,Eateries,12,12,5000
17,,28,F,OBC,Cow Rearing,none,95000,4000,0,2,1,T1,4,50,1,0.5,Animal husbandry,12,50,7500
18,Dhanbad,34,M,Gorai,Vegetable vendor,Others,48000,4000,0,1,1,T1,3,50,1,0.5,Agro Based Businesses,12,12,5000
19,Dhanbad,57,M,Bouri,Tailoring,Others,36000,5000,0,1,1,R,5,50,1,0.5,Apparels,12,12,5000
20,,48,F,OBC,Banana Cultivation,none,95000,400,0,0,1,T1,4,60,1,0.5,Farming/ Agriculture,12,50,7500
21,Dhanbad,23,F,Nil,Utensils selling,Others,36000,3000,0,1,0,R,3,60,1,0.5,Retail Sale,12,12,5000
22,,32,F,SC,Tailoring,none,50000,4400,0,2,1,T1,4,40,1,0.5,Apparels,12,50,7500
23,Dhanbad,35,F,Mouchi,Puffed rice business,Others,3600,5000,0,2,1,T1,5,60,1,0.5,Eateries,12,12,5000
24,Dhanbad,43,M,Teli,General store,Others,3600,4000,1,1,1,R,5,50,1,0.5,Retail Store,12,12,5000
25,Nuapada,26,F,OBC,Readymade Garments,none,48000,4000,0,1,1,T1,1,110,1,0.5,Apparels,12,12,5000
26,Dhanbad,51,F,Broman,Medical shop,Others,60000,5000,0,3,1,R,5,60,1,0.5,Retail Store,12,12,5000
27,Dhanbad,39,M,Tali,Electronic goods shop,Others,60000,5000,0,1,1,R,3,60,1,0.5,Retail Store,12,12,5000
28,Nuapada,23,F,OBC,Milk business,none,42000,3500,0,1,1,T1,1,112,1,0.5,Animal husbandry,12,12,5000
29,Nuapada,41,F,OBC,Vegetable vendor,Daily wage labourer,36000,36000,0,0,1,T1,1,110,1,0.5,Agro Based Businesses,12,12,5000
30,Dhanbad,46,F,Mouchi,Tailoring,Others,36000,5000,0,0,1,R,4,40,1,0.5,Apparels,12,12,5000
31,Dhanbad,45,M,Tali,Grocery store,Others,48000,5000,0,1,1,R,3,40,1,0.5,Agro Based Businesses,12,12,5000
32,Nuapada,50,F,OBC,Carpenter/Wood business,Daily wage labourer,36000,3000,0,1,1,T1,1,110,1,0.5,Carpentery work,12,12,5000
33,,43,F,Muslim,Banana Cultivation,none,95000,4400,0,0,1,T1,3,50,1,0.5,Farming/ Agriculture,12,50,7500
34,Nuapada,44,F,OBC,Goat rearing,Daily wage labourer,3000,36000,0,0,1,T1,1,110,1,0.5,Meat Businesses,12,12,5000
35,,50,F,OBC,Cow Rearing,none,95000,5000,0,0,1,T1,4,130,1,0.5,Animal husbandry,12,50,7500
36,Nuapada,28,F,OBC,Vegetable vendor,Daily wage labourer,48000,4000,0,1,1,T1,1,112,1,0.5,Agro Based Businesses,12,12,5000
37,,46,F,OBC,Goat rearing,none,95000,4600,0,0,1,T1,4,50,1,0.5,Meat Businesses,12,50,7500
38,Nuapada,47,F,OBC,Poultry farm,Daily wage labourer,36000,3000,0,0,1,T1,1,110,1,0.5,Meat Businesses,12,12,5000
39,Nuapada,35,F,OBC,Vegetable cultivation,Agriculture,36000,3000,0,0,1,T1,1,110,1,0.5,Farming/ Agriculture,12,12,5000
40,Nuapada,44,F,OBC,Milk business,Daily wage labourer,36000,3000,0,0,1,T1,1,110,1,0.5,Animal husbandry,12,12,5000
41,Nuapada,25,F,OBC,Cattle rearing,Daily wage labourer,36000,3000,0,0,1,T1,1,110,1,0.5,Animal husbandry,12,12,5000
42,Nuapada,23,F,OBC,Goat rearing,Daily wage labourer,60000,4000,0,3,1,T1,1,112,1,0.5,Meat Businesses,12,12,5000
43,Nuapada,34,F,OBC,Brick manufacturing unit,Daily wage labourer,36000,3000,0,0,1,T1,1,112,1,0.5,Construction Related Activities,24,24,5000
44,Plakkad,41,F,Muslim,Tailoring,Others,50400,4200,0,2,1,T1,3,60,1,0.5,Apparels,12,50,7500
45,,39,F,Muslim,Buffalo rearing,none,95000,5000,0,3,1,T1,6,40,1,0.5,Animal husbandry,12,50,7500
46,Palakkad,40,F,OBC,Tailoring,Others,42000,5600,0,2,1,T1,5,50,1,0.5,Apparels,12,50,7500
47,,42,F,OBC,Vegetable cultivation,none,95000,4300,0,1,1,T1,4,40,1,0.5,Farming/ Agriculture,12,50,7500
48,Palakkad,47,F,OBC,Tailoring,Others,78000,3500,0,0,1,T1,3,50,1,0.5,Apparels,12,50,7500
49,,24,F,OBC,Wet grinding,none,95000,4000,0,2,1,T1,5,50,1,0.5,Business Services - II,12,50,7500
50,,42,F,OBC,Vegetable cultivation,none,95000,4700,0,2,1,T1,4,50,1,0.5,Farming/ Agriculture,12,50,7500
51,Palakkad,35,F,Muslim,Cow Rearing,Others,100800,5000,0,2,1,T1,4,1200,1,0.5,Animal husbandry,12,50,7500
