               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11412,            0.015464,            0.077942,           0.0042123,             0.26316,           0.0061935,           0.0010948,             0.10467,            0.012123,            0.077081,              0.0982,              0.0002,              0.0002
                   1,             0.11219,            0.015918,            0.074849,            0.005473,             0.36842,           0.0073285,           0.0012524,            0.097957,            0.013099,            0.075609,            0.095495,          0.00049505,          0.00049505
                   2,              0.1052,            0.016955,            0.073359,           0.0044477,             0.31579,           0.0058662,           0.0013977,            0.087381,             0.01478,            0.072979,            0.092784,          0.00078416,          0.00078416
                   3,            0.096556,            0.021095,            0.072225,           0.0045328,             0.34211,           0.0063682,            0.001423,            0.076072,            0.016583,            0.069698,            0.090067,           0.0010673,           0.0010673
                   4,            0.095402,            0.024407,            0.067774,           0.0047498,             0.39474,           0.0072211,           0.0015826,            0.067033,             0.01786,            0.065873,            0.087345,           0.0013446,           0.0013446
                   5,            0.085793,            0.021658,            0.063162,           0.0053395,             0.44883,           0.0071687,           0.0013384,            0.064278,            0.018048,            0.062616,            0.084616,           0.0016158,           0.0016158
                   6,            0.081377,            0.022789,            0.062177,            0.011279,             0.83333,            0.018951,           0.0037539,            0.059905,            0.018547,            0.057824,            0.081881,           0.0018812,           0.0018812
                   7,            0.082639,            0.027099,            0.058651,            0.012648,                   1,            0.032358,            0.006749,            0.058457,            0.018596,            0.054373,            0.079141,           0.0021406,           0.0021406
                   8,            0.078637,            0.022871,            0.056452,            0.010913,                   1,            0.073548,            0.021776,            0.059658,            0.017995,             0.04768,            0.076394,           0.0023941,           0.0023941
                   9,            0.074982,            0.028736,            0.050759,            0.010216,                   1,             0.19983,            0.061641,            0.054899,            0.017709,             0.04468,            0.073642,           0.0026416,           0.0026416
                  10,             0.07035,             0.02824,            0.047001,             0.16086,             0.23684,              0.3874,             0.13318,            0.052169,            0.016557,            0.040102,            0.070883,           0.0028832,           0.0028832
                  11,            0.070506,            0.023014,            0.044006,            0.021615,             0.16082,            0.066646,             0.02401,            0.071122,            0.013288,            0.039543,            0.068119,           0.0031189,           0.0031189
                  12,             0.07229,            0.026584,            0.040685,            0.054954,             0.76316,            0.057732,            0.020859,            0.078451,            0.011302,            0.039582,            0.065349,           0.0033486,           0.0033486
                  13,            0.072726,            0.021233,            0.038515,             0.23088,             0.67398,             0.35808,             0.10178,            0.061478,            0.012702,            0.039496,            0.062572,           0.0035723,           0.0035723
                  14,            0.072101,            0.017535,            0.037894,             0.41076,             0.71494,             0.47048,             0.20285,            0.067606,            0.011998,            0.039153,             0.05979,           0.0037902,           0.0037902
                  15,            0.067018,            0.020725,            0.034197,             0.41599,             0.60088,             0.54337,             0.20499,            0.063559,             0.01201,            0.038149,            0.057002,           0.0040021,           0.0040021
                  16,            0.067752,            0.017958,            0.034054,             0.40846,             0.75877,             0.55133,             0.19723,            0.060995,             0.01239,            0.035851,            0.054208,            0.004208,            0.004208
                  17,            0.064953,            0.017604,              0.0336,             0.27458,             0.81252,             0.35793,            0.086712,            0.073966,            0.011929,            0.034191,            0.051408,            0.004408,            0.004408
                  18,            0.073503,            0.020968,            0.034136,             0.45349,             0.86257,              0.6549,             0.18875,            0.065163,            0.011874,            0.032833,            0.048602,           0.0046021,           0.0046021
                  19,            0.067622,            0.019148,            0.032259,             0.41831,              0.8149,             0.60945,             0.15514,            0.076761,            0.011129,            0.031575,             0.04579,           0.0047902,           0.0047902
                  20,            0.066675,            0.017046,            0.031496,             0.57043,             0.80994,             0.73461,              0.3485,            0.057703,            0.012096,            0.030517,            0.042972,           0.0049724,           0.0049724
                  21,            0.059619,            0.019456,             0.03191,            0.098525,             0.80702,             0.12284,            0.044324,            0.076981,            0.010625,            0.029973,            0.040149,           0.0051487,           0.0051487
                  22,            0.073878,            0.013561,             0.03215,             0.49034,             0.85411,             0.66611,             0.32732,            0.049665,            0.011644,            0.027821,            0.037319,            0.005319,            0.005319
                  23,            0.060267,            0.019777,            0.031519,             0.30027,             0.23684,             0.30481,             0.11786,            0.076368,              0.0104,            0.026477,            0.034483,           0.0054833,           0.0054833
                  24,            0.069835,            0.016894,            0.031159,             0.32204,             0.84041,              0.4125,             0.14519,            0.065857,            0.010455,             0.02549,            0.031642,           0.0056418,           0.0056418
                  25,            0.068413,            0.014908,            0.030733,             0.32286,             0.77924,             0.61643,             0.32761,            0.061391,            0.010142,            0.023624,            0.028794,           0.0057942,           0.0057942
                  26,             0.06169,            0.017347,            0.031221,             0.18664,             0.77924,             0.31894,             0.11912,            0.064676,            0.010252,            0.023193,            0.025941,           0.0059408,           0.0059408
                  27,            0.075427,            0.016258,            0.030345,             0.25158,             0.85613,             0.54309,             0.24158,            0.057512,            0.010328,            0.022241,            0.023081,           0.0060814,           0.0060814
                  28,              0.0584,            0.016095,            0.029028,             0.25158,             0.85613,             0.54309,             0.24158,            0.057512,            0.010328,            0.022241,            0.020216,           0.0062161,           0.0062161
                  29,            0.059151,            0.016493,            0.027011,              0.1799,             0.72368,             0.34286,             0.11065,            0.062198,           0.0098492,            0.021441,            0.017345,           0.0063448,           0.0063448
                  30,            0.062689,            0.017393,            0.028924,             0.23662,             0.69591,             0.50699,             0.27382,            0.056313,             0.01039,            0.020973,            0.014468,           0.0064676,           0.0064676
                  31,             0.06023,            0.015195,             0.02866,             0.19943,             0.69591,              0.3736,               0.136,            0.069804,           0.0094998,            0.020193,            0.011584,           0.0065844,           0.0065844
                  32,            0.066107,            0.015823,             0.02681,             0.19943,             0.69591,              0.3736,               0.136,            0.069804,           0.0094998,            0.020193,           0.0086954,           0.0066954,           0.0066954
                  33,            0.060882,            0.014971,            0.026664,             0.29393,             0.77924,             0.53629,             0.20029,            0.049228,            0.010482,            0.018701,            0.006733,            0.006733,            0.006733
                  34,            0.055937,            0.015357,            0.023745,             0.20241,             0.75146,             0.43138,             0.16361,            0.068413,           0.0092855,            0.017768,            0.006733,            0.006733,            0.006733
                  35,            0.065708,            0.014546,            0.025076,             0.22165,             0.80702,             0.51848,             0.19217,            0.052206,           0.0099804,             0.01727,            0.006634,            0.006634,            0.006634
                  36,            0.057152,            0.015964,            0.024226,             0.22165,             0.80702,             0.51848,             0.19217,            0.052206,           0.0099804,             0.01727,            0.006535,            0.006535,            0.006535
                  37,            0.055895,            0.017737,            0.024693,              0.2655,             0.91813,              0.4925,             0.21378,            0.050746,            0.010183,            0.016686,            0.006436,            0.006436,            0.006436
                  38,            0.058335,            0.016675,             0.02347,              0.2693,             0.77924,             0.38703,             0.14377,            0.060504,           0.0095744,            0.015737,            0.006337,            0.006337,            0.006337
                  39,            0.072441,            0.015227,            0.024105,             0.32979,             0.84622,             0.62993,             0.29256,            0.041386,              0.0103,            0.015228,            0.006238,            0.006238,            0.006238
                  40,             0.04522,            0.018108,            0.022641,             0.32979,             0.84622,             0.62993,             0.29256,            0.041386,              0.0103,            0.015228,            0.006139,            0.006139,            0.006139
                  41,            0.049331,            0.016321,            0.022996,             0.42122,             0.94591,             0.74894,             0.37328,            0.044575,           0.0098276,            0.014139,             0.00604,             0.00604,             0.00604
                  42,            0.053915,             0.01581,            0.022238,             0.43132,             0.94591,              0.7013,             0.27955,            0.051828,           0.0094014,            0.013009,            0.005941,            0.005941,            0.005941
                  43,             0.05798,            0.014191,            0.020947,             0.54842,             0.94591,              0.8617,             0.52104,            0.048512,           0.0093182,            0.012102,            0.005842,            0.005842,            0.005842
                  44,            0.047966,             0.01643,            0.019546,             0.54842,             0.94591,              0.8617,             0.52104,            0.048512,           0.0093182,            0.012102,            0.005743,            0.005743,            0.005743
                  45,            0.054643,            0.013601,            0.019586,             0.54629,             0.97368,             0.79952,             0.40795,            0.047764,           0.0094692,            0.011176,            0.005644,            0.005644,            0.005644
                  46,            0.052935,             0.01602,            0.018395,             0.56779,             0.96763,             0.85104,             0.41563,            0.050147,           0.0094327,            0.010431,            0.005545,            0.005545,            0.005545
                  47,             0.04829,            0.016934,            0.018826,             0.47192,             0.95211,             0.77797,             0.37596,            0.051666,           0.0091578,           0.0098353,            0.005446,            0.005446,            0.005446
                  48,            0.051319,             0.01611,            0.017457,             0.47192,             0.95211,             0.77797,             0.37596,            0.051666,           0.0091578,           0.0098353,            0.005347,            0.005347,            0.005347
                  49,            0.047487,            0.013546,            0.016527,             0.60814,             0.97011,             0.85514,             0.48996,            0.037533,           0.0092803,           0.0093365,            0.005248,            0.005248,            0.005248
                  50,             0.04869,            0.012811,            0.020986,             0.54784,             0.96578,             0.78529,             0.34578,            0.054921,           0.0086259,           0.0089562,            0.005149,            0.005149,            0.005149
                  51,             0.05224,            0.014532,            0.017265,             0.61042,             0.95328,             0.85408,             0.47132,            0.044269,           0.0086122,           0.0095666,             0.00505,             0.00505,             0.00505
                  52,              0.0471,            0.015557,            0.016277,             0.61042,             0.95328,             0.85408,             0.47132,            0.044269,           0.0086122,           0.0095666,            0.004951,            0.004951,            0.004951
                  53,             0.04365,             0.01554,            0.016437,             0.70599,             0.94831,             0.95241,             0.55758,            0.035472,           0.0084037,            0.012147,            0.004852,            0.004852,            0.004852
                  54,            0.046278,            0.013771,            0.014846,             0.69937,              0.8348,             0.88564,             0.42351,            0.047012,           0.0084807,           0.0087606,            0.004753,            0.004753,            0.004753
                  55,            0.046787,            0.014831,            0.017356,              0.8823,             0.97222,             0.96822,             0.52658,            0.037803,           0.0083043,           0.0077221,            0.004654,            0.004654,            0.004654
                  56,            0.039522,            0.012022,            0.016347,              0.8823,             0.97222,             0.96822,             0.52658,            0.037803,           0.0083043,           0.0077221,            0.004555,            0.004555,            0.004555
                  57,            0.046183,            0.011521,            0.014225,             0.60252,                   1,             0.74734,             0.38354,            0.037634,           0.0083705,           0.0071483,            0.004456,            0.004456,            0.004456
                  58,            0.045562,            0.013898,            0.014732,              0.9003,                   1,             0.96625,             0.55175,             0.04197,           0.0080625,           0.0067343,            0.004357,            0.004357,            0.004357
