name,title,description,url,img_url
BBC News,2023/08/25 04:00 GMT,The latest five minute news bulletin from BBC World Service.,https://www.bbc.co.uk/programmes/w172z2qz8007597,https://ichef.bbci.co.uk/images/ic/1200x675/p060dh18.jpg
BBC News,Families sue government for failing to protect care homes from Covid,Relatives of residents who died with the virus are claiming damages for loss of life and distress caused.,https://www.bbc.co.uk/news/health-66582873,https://ichef.bbci.co.uk/news/1024/branded_news/24CB/production/_130891490_lizpromo.jpg
BBC News,OnlyFans owner gets $338m payout,"The platform says it now hosts more than three million creators, serving almost 240 million users.",https://www.bbc.co.uk/news/business-66612769,https://ichef.bbci.co.uk/news/1024/branded_news/15805/production/_130896088_gettyimages-1244045731.jpg
BBC News,2023/08/25 03:00 GMT,The latest five minute news bulletin from BBC World Service.,https://www.bbc.co.uk/programmes/w172z2qz80071k3,https://ichef.bbci.co.uk/images/ic/1200x675/p060dh18.jpg
BBC News,Trump surrenders at Georgia jail... in 74 seconds,The former US president turned himself in at the notorious Fulton County Jail.,https://www.bbc.co.uk/news/av/world-us-canada-66612220,https://ichef.bbci.co.uk/news/1024/branded_news/D3FD/production/_130896245_p0g8qv91.jpg
BBC News,Americans react to Donald Trump's mugshot,"Though the Georgia election case is the fourth criminal case against him, this is his first mugshot.",https://www.bbc.co.uk/news/world-us-canada-66612717,https://ichef.bbci.co.uk/news/1024/branded_news/2C05/production/_130896211_mugshot.png
BBC News,Rishi Sunak says pressure on the asylum system is unsustainable,"The cost of the asylum system has nearly doubled in a year to £4bn, government figures show.",https://www.bbc.co.uk/news/uk-66612663,https://ichef.bbci.co.uk/news/1024/branded_news/A06D/production/_130896014_officersre.jpg
BBC News,2023/08/25 02:00 GMT,The latest five minute news bulletin from BBC World Service.,https://www.bbc.co.uk/programmes/w172z2qz8006xsz,https://ichef.bbci.co.uk/images/ic/1200x675/p060dh18.jpg
BBC News,Historic Trump mugshot released in Georgia arrest in election plot case,A booking photo shows the former president glowering after he was booked at an Atlanta jailhouse.,https://www.bbc.co.uk/news/world-us-canada-66612345,https://ichef.bbci.co.uk/news/1024/branded_news/13C3F/production/_130895908_mugshot.jpg
BBC News,Canada considers foreign student cap over housing crisis,"The country is looking at ways tackle the housing affordability crisis, including capping student visas.",https://www.bbc.co.uk/news/world-us-canada-66600600,https://ichef.bbci.co.uk/news/1024/branded_news/142D8/production/_130884628_gettyimages-1252177175.jpg
BBC News,Gut problems may be early sign of Parkinson's disease,"Constipation, difficulty swallowing and irritable bowel symptoms are possible markers, say researchers.",https://www.bbc.co.uk/news/health-66604155,https://ichef.bbci.co.uk/news/1024/branded_news/AB1A/production/_104120834_gettyimages-686202492.jpg
