GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs
71,10.1,3.2,1.3,3.2,39.6,0.1,0.5,21.9,0.6,0.7,83.7,0.1,0.9,0.9,1.7,0.5,0.1,0.7,1.0
52,15.4,4.5,1.8,3.6,49.5,0.0,0.0,0.0,1.0,1.4,70.3,1.2,2.1,3.3,0.3,0.2,0.6,1.0,1.0
37,15.5,4.2,1.5,4.2,35.9,0.4,1.4,30.2,0.8,1.1,71.8,0.2,1.1,1.3,2.9,0.8,0.1,0.9,0.0
22,6.0,1.5,0.6,1.5,40.6,0.0,0.0,0.0,0.4,0.5,66.7,0.5,1.0,1.5,0.0,0.2,0.1,0.5,0.0
64,16.1,4.7,1.9,4.0,46.5,0.0,0.1,0.0,0.9,1.9,49.2,1.5,1.9,3.4,0.5,0.6,0.6,0.8,0.0
75,16.6,6.4,2.6,6.2,42.2,0.2,1.1,22.2,0.9,1.2,78.4,1.1,2.3,3.4,0.7,0.6,0.2,0.9,0.0
46,10.4,3.7,1.6,3.0,52.1,0.0,0.0,0.0,0.5,1.1,50.0,0.7,1.6,2.3,0.5,0.1,0.3,0.6,1.0
47,11.1,2.7,1.0,2.6,38.8,0.0,0.0,0.0,0.7,1.1,70.0,1.0,1.5,2.4,0.9,0.2,0.4,0.7,0.0
47,8.9,4.2,1.5,4.0,38.3,0.0,0.0,0.0,1.1,1.6,68.8,0.2,0.4,0.6,0.4,0.5,0.1,0.7,0.0
36,6.6,1.9,0.8,2.4,32.2,0.0,0.1,0.0,0.3,0.5,64.7,0.5,0.3,0.8,0.4,0.3,0.1,0.6,1.0
59,9.9,3.5,1.3,3.1,42.4,0.0,0.0,0.0,0.8,1.2,69.4,1.0,1.5,2.6,0.6,0.2,0.1,0.8,1.0
70,23.4,6.1,2.7,5.9,45.3,0.0,0.0,33.3,0.7,0.9,80.6,1.2,2.6,3.8,1.9,0.7,0.1,1.3,0.0
21,4.9,0.7,0.3,0.9,33.3,0.0,0.0,0.0,0.1,0.3,50.0,0.2,0.9,1.1,0.1,0.1,0.3,0.1,0.0
45,22.0,8.1,3.4,7.2,47.1,0.1,0.3,23.1,1.3,1.8,72.8,0.6,1.8,2.4,3.5,0.7,0.1,1.6,1.0
60,8.7,3.8,1.6,3.4,46.8,0.0,0.0,0.0,0.7,1.0,69.0,0.6,0.8,1.5,0.7,0.3,0.3,0.6,1.0
63,14.0,4.7,1.9,4.2,46.6,0.0,0.0,0.0,0.9,1.4,62.1,1.5,2.2,3.6,0.4,0.4,0.4,1.1,1.0
36,8.3,3.2,1.5,3.4,44.6,0.0,0.0,0.0,0.2,0.3,66.7,0.6,1.1,1.6,0.2,0.1,0.4,0.4,0.0
55,11.8,3.8,1.3,3.2,40.6,0.4,1.5,26.5,0.8,1.0,80.0,0.3,2.1,2.4,0.5,0.3,0.5,0.4,0.0
33,20.3,5.5,2.4,6.0,39.9,0.1,0.8,8.0,0.7,0.9,76.7,0.5,1.5,2.0,3.2,0.4,0.1,1.5,1.0
50,10.6,3.7,1.5,3.3,44.9,0.0,0.3,13.3,0.6,1.1,57.4,0.9,2.0,2.9,0.3,0.2,0.4,0.4,0.0
26,9.7,2.2,1.0,2.3,42.4,0.0,0.0,0.0,0.2,0.5,50.0,0.5,1.7,2.2,0.2,0.1,0.8,0.3,0.0
43,13.0,4.6,2.0,5.0,40.6,0.1,0.5,14.3,0.4,0.6,68.0,0.2,1.0,1.2,1.9,0.3,0.1,0.8,0.0
76,15.4,6.7,2.8,6.8,42.1,0.2,0.8,29.8,0.8,1.2,63.0,1.5,1.4,2.9,0.8,0.6,0.3,0.9,0.0
77,21.6,8.6,3.3,6.6,49.8,0.1,0.2,25.0,1.9,2.5,76.3,0.9,2.0,2.9,0.7,0.6,0.2,0.8,1.0
51,9.1,2.7,1.0,2.7,39.0,0.1,0.3,23.5,0.6,0.8,69.8,0.3,0.7,1.0,0.9,0.6,0.1,0.7,0.0
60,8.7,2.9,1.0,2.2,44.4,0.0,0.1,0.0,0.9,1.3,69.7,0.2,0.9,1.2,1.7,0.6,0.1,0.6,1.0
56,12.1,4.6,1.8,3.4,52.8,0.0,0.2,0.0,1.0,1.5,67.5,0.7,0.7,1.3,0.4,0.7,0.1,0.4,1.0
72,21.9,9.5,3.9,9.0,43.0,0.1,0.5,25.6,1.6,2.2,72.7,1.1,3.3,4.3,1.1,0.4,0.3,1.7,1.0
71,21.3,11.5,4.5,9.5,47.6,0.0,0.0,0.0,2.4,3.4,70.9,1.7,2.5,4.2,0.7,0.5,0.6,1.5,1.0
48,11.8,4.7,2.0,3.9,50.8,0.0,0.0,0.0,0.8,1.1,70.6,1.0,1.8,2.9,0.4,0.3,0.7,0.5,1.0
18,6.2,2.4,0.9,2.4,37.2,0.5,1.6,32.1,0.2,0.3,60.0,0.3,0.8,1.1,0.0,0.1,0.1,0.3,0.0
77,17.8,8.4,2.9,6.1,47.8,0.0,0.1,18.2,2.5,3.4,75.1,1.6,2.3,3.9,0.8,0.3,0.3,1.8,1.0
44,7.9,3.3,1.3,3.1,41.5,0.0,0.1,0.0,0.8,1.2,66.0,0.3,0.5,0.9,0.8,0.5,0.1,0.9,0.0
45,10.4,4.2,2.0,4.1,48.6,0.0,0.1,0.0,0.2,0.3,60.0,0.7,1.0,1.7,0.6,0.2,0.2,0.4,0.0
74,20.5,9.3,4.0,8.7,45.9,0.0,0.1,9.1,1.3,2.0,66.4,1.7,2.6,4.4,1.5,0.7,0.2,1.3,1.0
38,6.5,3.1,1.2,3.0,39.5,0.5,1.5,31.0,0.2,0.3,66.7,0.2,0.4,0.6,1.1,0.3,0.1,0.7,0.0
75,17.9,7.3,2.8,6.0,47.0,0.0,0.1,0.0,1.7,2.2,76.2,1.1,2.0,3.1,0.7,0.4,0.3,0.9,1.0
46,10.7,2.9,1.1,1.8,58.3,0.0,0.0,50.0,0.7,0.9,82.5,0.6,0.7,1.3,0.8,0.4,0.1,0.8,0.0
69,14.4,3.8,1.5,2.7,56.7,0.0,0.0,0.0,0.7,1.1,66.2,1.1,1.8,2.9,0.2,0.7,0.6,0.6,1.0
25,5.2,2.3,0.8,2.1,39.6,0.2,0.6,31.3,0.4,0.5,84.6,0.3,0.4,0.7,0.5,0.3,0.1,0.6,0.0
62,8.0,3.7,1.4,3.3,43.6,0.0,0.0,0.0,0.9,1.1,74.6,0.6,1.3,1.9,0.4,0.1,0.1,0.6,1.0
76,14.6,4.5,1.9,4.1,45.5,0.1,0.2,28.6,0.7,1.1,65.9,1.0,2.0,3.0,0.3,0.3,0.7,0.6,1.0
53,14.5,6.9,2.7,6.7,40.1,0.4,1.2,31.1,1.1,1.5,72.8,0.3,0.9,1.2,1.0,0.5,0.1,1.1,1.0
