[2023-10-19 20:17:30,151: INFO: main: Welcome to NBA prediction]
[2023-10-19 21:03:38,713: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-19 21:03:38,716: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-19 21:04:05,618: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-19 21:04:05,620: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-19 21:04:05,623: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-19 21:04:05,624: INFO: common: created directory at artifacts]
[2023-10-19 21:04:05,626: INFO: common: created directory at artifacts/data_ingestion]
[2023-10-19 21:04:05,629: ERROR: 2892812591: Source file does not exist or is not a regular file.]
[2023-10-19 21:04:46,286: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-19 21:04:46,286: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-19 21:04:46,301: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-19 21:04:46,303: INFO: common: created directory at artifacts]
[2023-10-19 21:04:46,304: INFO: common: created directory at artifacts/data_ingestion]
[2023-10-19 21:04:59,278: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-19 21:04:59,280: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-19 21:04:59,281: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-19 21:04:59,282: INFO: common: created directory at artifacts]
[2023-10-19 21:04:59,284: INFO: common: created directory at artifacts/data_ingestion]
[2023-10-19 21:05:17,254: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-19 21:05:17,256: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-19 21:05:17,257: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-19 21:05:17,258: INFO: common: created directory at artifacts]
[2023-10-19 21:05:17,260: INFO: common: created directory at artifacts/data_ingestion]
[2023-10-19 21:05:35,065: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-19 21:05:35,069: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-19 21:05:35,072: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-19 21:05:35,074: INFO: common: created directory at artifacts]
[2023-10-19 21:05:35,076: INFO: common: created directory at artifacts/data_ingestion]
[2023-10-19 21:05:35,079: ERROR: 3135120561: Source file does not exist or is not a regular file.]
[2023-10-19 21:06:09,127: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-19 21:06:09,129: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-19 21:06:09,129: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-19 21:06:09,129: INFO: common: created directory at artifacts]
[2023-10-19 21:06:09,137: INFO: common: created directory at artifacts/data_ingestion]
[2023-10-19 21:06:09,140: ERROR: 3135120561: Source file does not exist or is not a regular file.]
[2023-10-19 21:06:11,774: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-19 21:06:11,778: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-19 21:06:11,782: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-19 21:06:11,783: INFO: common: created directory at artifacts]
[2023-10-19 21:06:11,784: INFO: common: created directory at artifacts/data_ingestion]
[2023-10-19 21:06:11,786: ERROR: 3135120561: Source file does not exist or is not a regular file.]
[2023-10-19 21:06:31,606: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-19 21:06:31,617: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-19 21:06:31,617: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-19 21:06:31,617: INFO: common: created directory at artifacts]
[2023-10-19 21:06:31,617: INFO: common: created directory at artifacts/data_ingestion]
[2023-10-19 21:06:31,617: ERROR: 3135120561: Source file does not exist or is not a regular file.]
[2023-10-19 21:09:31,953: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-19 21:09:31,953: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-19 21:09:31,953: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-19 21:09:31,961: INFO: common: created directory at artifacts]
