,job_A172,job_A173,job_A174,property_A122,property_A123,property_A124,housing_A152,housing_A153,present_emp_since_A72,present_emp_since_A73,present_emp_since_A74,present_emp_since_A75,foreign_worker_A202,credit_history_A31,credit_history_A32,credit_history_A33,credit_history_A34,inst_plans_A142,inst_plans_A143,telephone_A192,checkin_acc_A12,checkin_acc_A13,checkin_acc_A14,purpose_A41,purpose_A410,purpose_A42,purpose_A43,purpose_A44,purpose_A45,purpose_A46,purpose_A48,purpose_A49,personal_status_A92,personal_status_A93,personal_status_A94,svaing_acc_A62,svaing_acc_A63,svaing_acc_A64,svaing_acc_A65,other_debtors_A102,other_debtors_A103,age,num_credits,duration,residing_since,inst_rate,dependents,amount
0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2.7808900587251353,0.8014231902686461,-1.2439507591645345,1.0149686464989693,0.8872029677028628,-0.4282895663715396,-0.7450725348093276
1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1.2057128841704503,-0.6322497798004878,2.247024243168116,-0.8964600663051161,-1.022129100524245,-0.4282895663715396,0.9498777248965101
2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1.1979741843401233,-0.6322497798004878,-0.7452400445455845,0.3778257422309409,-1.022129100524245,2.334868926348074,-0.41662127857189357
3,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.846215101143454,-0.6322497798004878,1.748313528549166,1.0149686464989693,-1.022129100524245,2.334868926348074,1.6341905580357972
4,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5497332675367927,0.8014231902686461,0.25218138469231566,1.0149686464989693,0.25075894496049356,2.334868926348074,0.5666058273302381
5,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,-0.03318260684821928,-0.6322497798004878,1.2496028139302158,1.0149686464989693,-1.022129100524245,2.334868926348074,2.050071285358016
6,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.5497332675367927,-0.6322497798004878,0.25218138469231566,1.0149686464989693,0.25075894496049356,-0.4282895663715396,-0.15456916118533648
7,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.03318260684821928,-0.6322497798004878,1.2496028139302158,-0.8964600663051161,-1.022129100524245,-0.4282895663715396,1.3031400472525994
8,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.2532514339301315,-0.6322497798004878,-0.7452400445455845,1.0149686464989693,-1.022129100524245,-0.4282895663715396,-0.07517374960564017
9,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.6780742593754464,0.8014231902686461,0.7508920993112658,-0.8964600663051161,0.8872029677028628,-0.4282895663715396,0.6956233711472446
10,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.9125803148398925,-0.6322497798004878,-0.7452400445455845,-1.5336029705731447,0.25075894496049356,-0.4282895663715396,-0.7004126157957484
11,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1.0298333425721158,-0.6322497798004878,2.247024243168116,1.0149686464989693,0.25075894496049356,-0.4282895663715396,0.3674084107776073
12,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1.2057128841704503,-0.6322497798004878,-0.7452400445455845,-1.5336029705731447,-1.658573123266614,-0.4282895663715396,-0.6040039017346887
13,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.135998406197908,0.8014231902686461,0.25218138469231566,1.0149686464989693,0.8872029677028628,-0.4282895663715396,-0.7344392207584755
14,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.6780742593754464,-0.6322497798004878,-0.4681785364239456,1.0149686464989693,-1.022129100524245,-0.4282895663715396,-0.6621326852126806
15,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.32631517617877703,-0.6322497798004878,0.25218138469231566,-0.8964600663051161,0.8872029677028628,-0.4282895663715396,-0.7051385331516827
16,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.5497332675367927,0.8014231902686461,0.25218138469231566,1.0149686464989693,0.8872029677028628,-0.4282895663715396,-0.3003637116159097
17,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,-0.9125803148398925,3.668769130406914,0.7508920993112658,0.3778257422309409,-1.022129100524245,-0.4282895663715396,1.701534880357861
18,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7289620734112309,-0.6322497798004878,0.25218138469231566,-0.8964600663051161,0.8872029677028628,-0.4282895663715396,3.299131242531452
19,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-0.3849416900448886,-0.6322497798004878,0.25218138469231566,-0.8964600663051161,0.25075894496049356,2.334868926348074,0.05620675288933344
20,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0807211566079002,3.668769130406914,-0.9668892510428956,1.0149686464989693,0.8872029677028628,-0.4282895663715396,-0.4031524141074808
21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.7289620734112309,-0.6322497798004878,-1.2439507591645345,0.3778257422309409,-1.022129100524245,2.334868926348074,-0.22120459590401015
22,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0807211566079002,0.8014231902686461,-0.9114769494185678,0.3778257422309409,-1.658573123266614,2.334868926348074,-0.36510877939220965
23,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.7289620734112309,-0.6322497798004878,-0.7452400445455845,1.0149686464989693,0.25075894496049356,-0.4282895663715396,-0.5201188686668548
