book,character
Category:Baptism of Fire characters,Adalia
Category:Baptism of Fire characters,Adela
Category:Baptism of Fire characters,Aen Saevherne
Category:Baptism of Fire characters,Aevenien
Category:Baptism of Fire characters,Aglaïs
Category:Baptism of Fire characters,Albrich
Category:Baptism of Fire characters,Amavet
Category:Baptism of Fire characters,Angus Bri Cri
Category:Baptism of Fire characters,Anna Kameny
Category:Baptism of Fire characters,Anzelm Aubry
Category:Baptism of Fire characters,Artaud Terranova
Category:Baptism of Fire characters,Asse
Category:Baptism of Fire characters,Assire var Anahid
Category:Baptism of Fire characters,Aubry (first born)
Category:Baptism of Fire characters,Augusta Wagner
Category:Baptism of Fire characters,Baron of Casadei
Category:Baptism of Fire characters,Beatrix of Kovir
Category:Baptism of Fire characters,Bronik
Category:Baptism of Fire characters,Brouver Hoog
Category:Baptism of Fire characters,Cahir Mawr Dyffryn aep Ceallach
Category:Baptism of Fire characters,Calanthe
Category:Baptism of Fire characters,Caleb Stratton
Category:Baptism of Fire characters,Carduin
Category:Baptism of Fire characters,Ceallach aep Gruffyd
Category:Baptism of Fire characters,Cerro
Category:Baptism of Fire characters,Ciaran aep Dearbh
Category:Baptism of Fire characters,Ciri
Category:Baptism of Fire characters,Cirilla Fiona (imposter)
Category:Baptism of Fire characters,Codringher
Category:Baptism of Fire characters,Coinneach Dá Reo
Category:Baptism of Fire characters,Connor
Category:Baptism of Fire characters,Coram I
Category:Baptism of Fire characters,Coram II
Category:Baptism of Fire characters,Corbett
Category:Baptism of Fire characters,Cosmo Baldenvegg
Category:Baptism of Fire characters,Count Lanier
Category:Baptism of Fire characters,Cregennan of Lod
Category:Baptism of Fire characters,Crispin
Category:Baptism of Fire characters,Dagorad
Category:Baptism of Fire characters,Dandelion
Category:Baptism of Fire characters,Daniel Etcheverry
Category:Baptism of Fire characters,Demavend III
Category:Baptism of Fire characters,Echel Traighlethan
Category:Baptism of Fire characters,Effenberg
Category:Baptism of Fire characters,Eithné
Category:Baptism of Fire characters,Elan Trahe
Category:Baptism of Fire characters,Elen of Kaedwen
Category:Baptism of Fire characters,Emhyr var Emreis
Category:Baptism of Fire characters,Emiel Regis Rohellec Terzieff-Godefroy
Category:Baptism of Fire characters,Ethain
Category:Baptism of Fire characters,Falka
Category:Baptism of Fire characters,Falka (alias)
Category:Baptism of Fire characters,Fauve
Category:Baptism of Fire characters,Field Marshal Windbag
Category:Baptism of Fire characters,Figgis Merluzzo
Category:Baptism of Fire characters,Fiona
Category:Baptism of Fire characters,Flourens Delannoy
Category:Baptism of Fire characters,Francesca Findabair
Category:Baptism of Fire characters,Fringilla Vigo
Category:Baptism of Fire characters,Geralt of Rivia
Category:Baptism of Fire characters,Gerhart of Aelle
Category:Baptism of Fire characters,Giselher
Category:Baptism of Fire characters,Goidemar
Category:Baptism of Fire characters,Havekar
Category:Baptism of Fire characters,Hector Laabs
Category:Baptism of Fire characters,Hedwig of Malleore
Category:Baptism of Fire characters,Henselt
Category:Baptism of Fire characters,Houtborg triplets
Category:Baptism of Fire characters,Ida Emean aep Sivney
Category:Baptism of Fire characters,Iorweth
Category:Baptism of Fire characters,Isengrim Faoiltiarna
Category:Baptism of Fire characters,Iskra
Category:Baptism of Fire characters,Istredd
Category:Baptism of Fire characters,Ithlinne
Category:Baptism of Fire characters,Jacob Fenn
Category:Baptism of Fire characters,Jan Lennep
Category:Baptism of Fire characters,Jan Struycken
Category:Baptism of Fire characters,Jolie Lanier
Category:Baptism of Fire characters,Kayleigh
Category:Baptism of Fire characters,Keira Metz
Category:Baptism of Fire characters,Kolda
Category:Baptism of Fire characters,Lara Dorren
Category:Baptism of Fire characters,Leo Bonhart
Category:Baptism of Fire characters,Leticia Charbonneau
Category:Baptism of Fire characters,Lucretia Vigo
Category:Baptism of Fire characters,Margarita Laux-Antille
Category:Baptism of Fire characters,Merlin
Category:Baptism of Fire characters,Meve
Category:Baptism of Fire characters,Milenka
Category:Baptism of Fire characters,Millet
Category:Baptism of Fire characters,Milva
Category:Baptism of Fire characters,Mistle
Category:Baptism of Fire characters,Morteisen
Category:Baptism of Fire characters,Munro Bruys
Category:Baptism of Fire characters,Muriel
Category:Baptism of Fire characters,Mykitka
Category:Baptism of Fire characters,Nazarian
Category:Baptism of Fire characters,Nimue verch Wledyr ap Gwyn
