StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,CGPA,Grade
1001,20,1,0,2,19.83372281,7,1,2,0,0,9.629994653,A+
1002,20,0,0,1,15.40875606,0,0,1,0,0,8.428027052,A
1003,20,0,2,3,14.21056977,26,0,2,0,0,8.133223412,A
1004,20,1,0,3,10.02882947,14,0,3,1,0,7.118649426,B
1005,20,1,0,2,10.1389538,17,1,3,0,0,7.147132993,B
1006,21,0,0,1,8.191218545,0,0,1,1,0,6.619955532,C
1007,20,0,1,1,8.191218545,10,0,3,0,1,6.645399977,C
1008,20,1,1,4,15.42449631,22,1,1,1,0,8.533056975,A
1009,20,0,0,0,10.1389538,1,0,2,0,1,7.133921882,B
1010,20,1,0,1,9.401459343,0,0,3,1,0,6.956518022,C
1011,21,0,0,1,9.201761628,11,0,1,0,0,6.830597045,C
1012,20,0,0,1,8.504804912,15,0,2,0,0,6.663851381,C
1013,20,0,1,1,8.523158967,21,0,3,1,0,6.731343086,C
1014,20,0,1,2,8.198536424,21,0,4,0,1,6.660272769,C
1015,20,1,0,1,8.198536424,9,1,2,0,0,6.634739436,C
1016,20,0,0,2,9.404082718,17,1,0,0,1,6.970448935,C
1017,20,0,3,1,12.76033459,14,0,4,1,1,7.884343813,B
1018,20,1,0,0,9.907411061,16,1,2,0,0,7.074980549,B
1019,20,0,1,3,8.808560609,29,0,2,1,0,6.792671993,C
1020,20,0,0,1,8.099747637,9,0,2,0,0,6.559307405,C
1021,20,1,0,3,8.506451936,2,0,3,0,0,6.67619761,C
1022,20,0,0,2,8.850237511,25,0,1,1,0,6.790723451,C
1023,20,1,1,0,8.699635106,29,1,1,0,0,6.752130382,C
1024,20,1,3,4,8.454683452,20,0,2,1,0,6.701170413,C
1025,20,1,0,1,8.51644268,15,0,2,0,0,6.66684739,C
1026,20,1,0,3,7.421373035,5,0,4,0,0,6.409489936,C
1027,20,0,0,1,9.542443014,2,0,2,0,1,6.980401526,C
1028,20,1,0,3,8.639201066,8,0,3,0,0,6.710639005,C
1029,20,0,0,0,7.270266206,10,0,3,1,0,6.408311453,C
1030,20,0,0,2,9.387190339,20,0,3,1,0,6.953733521,C
1031,20,0,2,2,9.941479928,12,1,0,0,1,7.108573407,B
1032,20,0,0,3,9.991022997,17,0,4,0,0,7.071549919,B
1033,20,0,0,3,8.063392441,25,0,1,0,1,6.588159292,C
1034,20,0,3,3,7.285056245,21,0,0,1,1,6.425107867,C
1035,20,0,0,3,8.561332089,27,1,2,1,1,6.828936982,C
1036,20,0,3,1,7.208697431,23,0,1,0,0,6.318039062,C
1037,20,0,0,1,9.946624728,26,1,1,0,0,7.073020098,B
1038,20,0,2,1,7.445265425,21,1,1,0,1,6.478851866,C
1039,20,1,1,1,7.6758862,3,1,1,1,1,6.587422516,C
1040,20,1,2,1,8.188788423,21,1,3,1,1,6.745263259,C
1041,20,1,3,2,8.110548229,23,1,1,0,0,6.600210115,C
1042,20,0,0,1,9.482209641,7,0,2,0,0,6.915117363,C
1043,20,1,3,2,8.354389402,12,1,4,0,0,6.699995315,C
1044,20,1,0,1,7.402560867,9,0,2,0,1,6.429824738,C
1045,20,1,0,1,7.724032985,1,1,3,1,1,6.62472846,C
1046,20,0,0,2,8.530377951,7,0,4,0,0,6.695079308,C
1047,20,0,1,2,7.324846391,5,0,1,1,0,6.397140268,C
1048,20,0,0,2,8.872185585,15,0,2,0,0,6.758429284,C
1049,20,0,1,2,8.719157689,17,0,3,0,0,6.731622912,C
1050,20,1,1,1,9.215674388,16,0,4,1,0,6.921900946,C
1051,20,1,2,2,9.959015385,5,0,3,0,0,7.050276596,B
1052,20,1,2,0,9.87418187,12,1,1,1,0,7.103748301,B
1053,20,1,0,1,9.986918727,22,0,4,0,0,7.070715544,B
1054,20,0,0,2,7.64905199,13,0,1,0,1,6.480958804,C
1055,20,0,0,0,7.271884355,29,1,2,1,1,6.497072472,C
1056,20,0,0,1,7.840922335,25,0,2,0,1,6.543386937,C
1057,20,1,0,4,9.816950576,20,0,2,0,1,7.051870322,B
1058,20,0,0,4,10.07351158,29,0,3,1,0,7.130818984,B
1059,20,0,0,1,9.697749837,9,1,3,0,1,7.083194582,B
1060,20,1,3,0,7.20005907,23,0,3,0,1,6.390815216,C
1061,20,1,1,1,9.99142666,10,0,0,1,0,7.071342726,B
1062,20,0,0,1,8.244526758,12,0,2,0,0,6.596712448,C
1063,20,0,1,3,6.864367636,11,0,3,0,1,6.303862007,C
1064,20,0,0,1,8.307979136,8,0,2,0,1,6.662869751,C
1065,20,0,0,2,6.986897232,3,1,4,0,0,6.347550279,C
1066,20,0,1,1,8.646259737,6,1,3,1,0,6.812367289,C
1067,20,0,0,4,7.961846758,23,0,3,0,1,6.586928642,C
1068,20,1,0,1,8.411449779,28,0,0,0,1,6.66539596,C
1069,20,1,3,2,8.877234536,21,1,3,0,0,6.822495745,C
1070,20,1,2,1,9.729336986,1,0,4,0,0,7.003470772,B
1071,20,0,1,2,9.039671922,6,0,2,1,0,6.851146704,C
1072,20,1,1,1,8.280162895,28,0,3,0,0,6.619097671,C
1073,20,0,1,1,9.564759512,8,0,2,1,1,7.036413317,B
1074,20,0,0,3,9.851940459,4,1,2,0,0,7.060166951,B
