iter	Passed	Remaining
0	133	133752
1	135	67669
2	137	45640
3	138	34572
4	140	27903
5	141	23496
6	143	20391
7	145	18076
8	147	16290
9	149	14782
10	150	13546
11	152	12575
12	154	11714
13	155	10963
14	157	10356
15	159	9827
16	167	9677
17	169	9255
18	170	8828
19	172	8459
20	174	8126
21	175	7803
22	176	7496
23	177	7217
24	178	6961
25	179	6727
26	180	6496
27	181	6288
28	182	6095
29	183	5920
30	184	5757
31	185	5603
32	185	5448
33	186	5300
34	187	5163
35	188	5045
36	189	4932
37	190	4828
38	191	4720
39	192	4614
40	193	4523
41	194	4435
42	195	4350
43	196	4269
44	197	4192
45	198	4119
46	199	4045
47	200	3978
48	201	3908
49	202	3846
50	203	3783
51	204	3725
52	205	3673
53	206	3620
54	207	3570
55	208	3521
56	209	3472
57	210	3422
58	211	3378
59	212	3328
60	213	3284
61	214	3240
62	215	3201
63	216	3161
64	217	3122
65	218	3087
66	219	3052
67	221	3042
68	224	3023
69	225	2990
70	226	2960
71	227	2927
72	228	2895
73	228	2865
74	230	2837
75	231	2811
76	232	2786
77	233	2759
78	234	2734
79	235	2712
80	239	2722
81	241	2700
82	242	2680
83	243	2657
84	244	2635
85	245	2613
86	247	2593
87	248	2573
88	249	2554
89	250	2535
90	252	2518
91	253	2500
92	254	2477
93	255	2459
94	257	2456
95	259	2447
96	262	2443
97	264	2430
98	265	2413
99	266	2402
100	269	2398
101	271	2386
102	273	2379
103	274	2366
104	276	2355
105	277	2341
106	278	2327
107	280	2313
108	281	2298
109	282	2285
110	285	2285
111	287	2277
112	288	2267
113	291	2265
114	293	2255
115	294	2243
116	295	2230
117	297	2226
118	299	2219
119	301	2212
120	303	2206
121	306	2203
122	307	2189
123	308	2179
124	309	2167
125	310	2153
126	311	2142
127	313	2133
128	315	2128
129	317	2121
130	318	2113
131	319	2101
132	320	2091
133	321	2080
134	323	2073
135	325	2070
136	330	2084
137	333	2083
138	336	2083
139	338	2077
140	339	2070
141	342	2067
142	343	2058
143	345	2050
144	347	2046
145	348	2037
146	349	2028
147	351	2021
148	352	2014
149	353	2004
150	354	1995
151	356	1987
152	357	1980
153	359	1974
154	361	1970
155	363	1968
156	365	1963
157	367	1959
158	368	1951
159	371	1949
160	372	1943
161	374	1937
162	376	1931
163	377	1926
164	379	1920
165	381	1915
166	383	1910
167	384	1905
168	386	1900
169	387	1894
170	389	1888
171	391	1883
172	392	1878
173	394	1872
174	396	1867
175	398	1864
176	399	1859
177	401	1855
178	403	1851
179	405	1845
180	406	1840
181	408	1835
182	410	1833
183	412	1828
184	414	1825
185	416	1821
186	417	1816
187	419	1810
188	420	1805
189	421	1798
190	423	1794
191	425	1789
192	426	1785
193	428	1780
194	430	1776
195	431	1770
196	433	1765
197	434	1760
198	436	1757
199	438	1754
200	440	1750
201	441	1745
202	443	1740
203	444	1735
204	445	1729
205	447	1725
206	448	1719
207	450	1714
208	452	1710
209	453	1706
210	455	1702
211	456	1697
212	458	1692
213	459	1687
214	461	1683
215	462	1677
216	463	1672
217	465	1668
218	466	1664
219	468	1659
220	469	1654
221	471	1650
222	472	1647
223	474	1643
224	475	1637
225	477	1634
226	478	1628
227	479	1624
228	481	1621
229	483	1619
230	484	1614
231	486	1610
232	488	1606
233	489	1603
234	491	1598
235	492	1594
236	494	1590
237	495	1586
238	497	1582
239	497	1576
240	499	1572
241	501	1569
242	502	1566
243	504	1562
244	505	1558
245	507	1554
246	508	1550
247	510	1547
248	511	1543
249	513	1540
250	515	1536
251	516	1533
252	518	1529
253	519	1526
254	521	1523
255	523	1520
256	524	1517
257	526	1513
