2022-07-20/10:41:36		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:41:38		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:41:40		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:41:42		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:41:43		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:41:45		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:41:47		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:41:48		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:41:50		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:41:52		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:41:53		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:41:55		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:41:57		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:41:59		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:01		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:03		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:04		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:06		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:07		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:09		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:11		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:13		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:14		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:16		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:18		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:20		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:21		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:23		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:25		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:27		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:28		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:30		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:32		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:33		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:35		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:37		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:39		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:40		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:42		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:44		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:46		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:48		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:50		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:53		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:54		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:56		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:42:58		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:00		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:02		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:04		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:06		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:07		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:09		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:11		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:13		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:14		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:16		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:18		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:19		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:21		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:23		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:25		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:26		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:28		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:29		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:31		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:33		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:35		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:37		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:38		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:40		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:42		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:44		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:45		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:47		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:49		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:51		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:53		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:55		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:56		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:43:58		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:00		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:01		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:03		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:05		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:06		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:08		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:10		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:11		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:13		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:15		 raw_data.csv: Entry loaded successfully!!
