day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Region
1,6,2012,29,57,18,0.0,65.7,3.4,7.6,1.3,3.4,0.5,not fire   ,0
2,6,2012,29,61,13,1.3,64.4,4.1,7.6,1.0,3.9,0.4,not fire   ,0
3,6,2012,26,82,22,13.1,47.1,2.5,7.1,0.3,2.7,0.1,not fire   ,0
4,6,2012,25,89,13,2.5,28.6,1.3,6.9,0.0,1.7,0.0,not fire   ,0
5,6,2012,27,77,16,0.0,64.8,3.0,14.2,1.2,3.9,0.5,not fire   ,0
6,6,2012,31,67,14,0.0,82.6,5.8,22.2,3.1,7.0,2.5,fire   ,0
7,6,2012,33,54,13,0.0,88.2,9.9,30.5,6.4,10.9,7.2,fire   ,0
8,6,2012,30,73,15,0.0,86.6,12.1,38.3,5.6,13.5,7.1,fire   ,0
9,6,2012,25,88,13,0.2,52.9,7.9,38.8,0.4,10.5,0.3,not fire   ,0
10,6,2012,28,79,12,0.0,73.2,9.5,46.3,1.3,12.6,0.9,not fire   ,0
11,6,2012,31,65,14,0.0,84.5,12.5,54.3,4.0,15.8,5.6,fire   ,0
12,6,2012,26,81,19,0.0,84.0,13.8,61.4,4.8,17.7,7.1,fire   ,0
13,6,2012,27,84,21,1.2,50.0,6.7,17.0,0.5,6.7,0.2,not fire   ,0
14,6,2012,30,78,20,0.5,59.0,4.6,7.8,1.0,4.4,0.4,not fire   ,0
15,6,2012,28,80,17,3.1,49.4,3.0,7.4,0.4,3.0,0.1,not fire   ,0
16,6,2012,29,89,13,0.7,36.1,1.7,7.6,0.0,2.2,0.0,not fire   ,0
17,6,2012,30,89,16,0.6,37.3,1.1,7.8,0.0,1.6,0.0,not fire   ,0
18,6,2012,31,78,14,0.3,56.9,1.9,8.0,0.7,2.4,0.2,not fire   ,0
19,6,2012,31,55,16,0.1,79.9,4.5,16.0,2.5,5.3,1.4,not fire   ,0
20,6,2012,30,80,16,0.4,59.8,3.4,27.1,0.9,5.1,0.4,not fire   ,0
21,6,2012,30,78,14,0.0,81.0,6.3,31.6,2.6,8.4,2.2,fire   ,0
22,6,2012,31,67,17,0.1,79.1,7.0,39.5,2.4,9.7,2.3,not fire   ,0
23,6,2012,32,62,18,0.1,81.4,8.2,47.7,3.3,11.5,3.8,fire   ,0
24,6,2012,32,66,17,0.0,85.9,11.2,55.8,5.6,14.9,7.5,fire   ,0
25,6,2012,31,64,15,0.0,86.7,14.2,63.8,5.7,18.3,8.4,fire   ,0
26,6,2012,31,64,18,0.0,86.8,17.8,71.8,6.7,21.6,10.6,fire   ,0
27,6,2012,34,53,18,0.0,89.0,21.6,80.3,9.2,25.8,15.0,fire   ,0
28,6,2012,32,55,14,0.0,89.1,25.5,88.5,7.6,29.7,13.9,fire   ,0
29,6,2012,32,47,13,0.3,79.9,18.4,84.4,2.2,23.8,3.9,not fire   ,0
30,6,2012,33,50,14,0.0,88.7,22.9,92.8,7.2,28.3,12.9,fire   ,0
1,7,2012,29,68,19,1.0,59.9,2.5,8.6,1.1,2.9,0.4,not fire   ,0
2,7,2012,27,75,19,1.2,55.7,2.4,8.3,0.8,2.8,0.3,not fire   ,0
3,7,2012,32,76,20,0.7,63.1,2.6,9.2,1.3,3.0,0.5,not fire   ,0
4,7,2012,33,78,17,0.0,80.1,4.6,18.5,2.7,5.7,1.7,not fire   ,0
5,7,2012,33,66,14,0.0,85.9,7.6,27.9,4.8,9.1,4.9,fire   ,0
6,7,2012,32,63,14,0.0,87.0,10.9,37.0,5.6,12.5,6.8,fire   ,0
7,7,2012,35,64,18,0.2,80.0,9.7,40.4,2.8,12.1,3.2,not fire   ,0
8,7,2012,33,68,19,0.0,85.6,12.5,49.8,6.0,15.4,8.0,fire   ,0
9,7,2012,32,68,14,1.4,66.6,7.7,9.2,1.1,7.4,0.6,not fire   ,0
10,7,2012,33,69,13,0.7,66.6,6.0,9.3,1.1,5.8,0.5,not fire   ,0
11,7,2012,33,76,14,0.0,81.1,8.1,18.7,2.6,8.1,2.2,not fire   ,0
12,7,2012,31,75,13,0.1,75.1,7.9,27.7,1.5,9.2,0.9,not fire   ,0
13,7,2012,34,81,15,0.0,81.8,9.7,37.2,3.0,11.7,3.4,not fire   ,0
14,7,2012,34,61,13,0.6,73.9,7.8,22.9,1.4,8.4,0.8,not fire   ,0
15,7,2012,30,80,19,0.4,60.7,5.2,17.0,1.1,5.9,0.5,not fire   ,0
16,7,2012,28,76,21,0.0,72.6,7.0,25.5,0.7,8.3,0.4,not fire   ,0
17,7,2012,29,70,14,0.0,82.8,9.4,34.1,3.2,11.1,3.6,fire   ,0
18,7,2012,31,68,14,0.0,85.4,12.1,43.1,4.6,14.2,6.0,fire   ,0
19,7,2012,35,59,17,0.0,88.1,12.0,52.8,7.7,18.2,10.9,fire   ,0
20,7,2012,33,65,15,0.1,81.4,12.3,62.1,2.8,16.5,4.0,fire   ,0
21,7,2012,33,70,17,0.0,85.4,18.5,71.5,5.2,22.4,8.8,fire   ,0
22,7,2012,28,79,18,0.1,73.4,16.4,79.9,1.8,21.7,2.8,not fire   ,0
23,7,2012,27,66,22,0.4,68.2,10.5,71.3,1.8,15.4,2.1,not fire   ,0
24,7,2012,28,78,16,0.1,70.0,9.6,79.7,1.4,14.7,1.3,not fire   ,0
25,7,2012,31,65,18,0.0,84.3,12.5,88.7,4.8,18.5,7.3,fire   ,0
26,7,2012,36,53,19,0.0,89.2,17.1,98.6,10.0,23.9,15.3,fire   ,0
27,7,2012,36,48,13,0.0,90.3,22.2,108.5,8.7,29.4,15.3,fire   ,0
28,7,2012,33,76,15,0.0,86.5,24.4,117.8,5.6,32.1,11.3,fire   ,0
29,7,2012,32,73,15,0.0,86.6,26.7,127.0,5.6,35.0,11.9,fire   ,0
30,7,2012,31,79,15,0.0,85.4,28.5,136.0,4.7,37.4,10.7,fire   ,0
