"0.799_0.201";"0.799_0.201";"0.700_0.300";"0.700_0.300";"0.600_0.400";"0.600_0.400";"0.501_0.499";"0.501_0.499";"0.400_0.600";"0.400_0.600";"1-Octanol";"1-Propanol";"2-Butanol";"2-propanol";"1-isobutanol"
-11.98;-10.99;-19.12;-17.28;-33.13;-28.45;-48.83;-40.77;-62.49;-50.82;1;0;0;0;0
-12.15;-11.33;-22.33;-19.95;-39.82;-33.64;-56.9;-46.77;-73.32;-58.96;1;0;0;0;0
-12.58;-11.74;-26.67;-23.34;-46.48;-38.69;-65.95;-53.46;-84.53;-67.21;1;0;0;0;0
-13.79;-12.82;-30.56;-26.18;-52.3;-42.98;-73.81;-59.19;-94.41;-74.4;1;0;0;0;0
-15.73;-13.87;-34.54;-28.65;-57.44;-46.26;-80.37;-63.49;-102.94;-80.25;1;0;0;0;0
-58.41;-38.66;-83.58;-57.33;-110.24;-76.8;-133.77;-96.13;-171.05;-124.15;0;1;0;0;0
-59.68;-40.01;-84.75;-58.75;-109.91;-77.28;-130.65;-94.69;-161.81;-118.7;0;1;0;0;0
-60.12;-40.73;-85.19;-59.47;-108.08;-76.43;-127.51;-92.88;-155.54;-114.76;0;1;0;0;0
-60.41;-41.2;-84.73;-59.31;-106.46;-75.39;-124.62;-90.88;-151.56;-112.58;0;1;0;0;0
-60.87;-39.88;-84.22;-57.58;-105.32;-73.36;-122.59;-88.28;-146.99;-109.52;0;1;0;0;0
-59.41;-61.86;-91.65;-81.02;-131.05;-105.51;-165.68;-126.3;-207.16;-153.44;0;0;1;0;0
-61.16;-62.92;-93.55;-82.39;-133.11;-107.27;-168.62;-128.94;-210.85;-157.01;0;0;1;0;0
-61.8;-62.99;-94.15;-82.45;-133.24;-107.15;-165.33;-126.55;-204.6;-152.81;0;0;1;0;0
-61.94;-62.78;-94.46;-82.39;-131.54;-105.6;-160.74;-123.08;-195.49;-146.26;0;0;1;0;0
-62.34;-61.87;-95.09;-81.53;-128.23;-102.05;-156.31;-119.71;-187.95;-140.79;0;0;1;0;0
-44.1;-35.02;-66.13;-50.43;-90.29;-68;-101.74;-76.53;-117.67;-88.63;0;0;0;1;0
-44.67;-35.39;-66.62;-50.84;-84.41;-63.94;-97.11;-73.35;-111.06;-83.98;0;0;0;1;0
-44.5;-35.27;-66.6;-50.98;-80.79;-61.24;-93.34;-70.67;-106.18;-80.45;0;0;0;1;0
-44.34;-34.97;-66.58;-50.93;-78.07;-59.27;-89.95;-68.18;-101.46;-77.06;0;0;0;1;0
-44.8;-35.17;-66.2;-50.42;-76.8;-58.26;-87.09;-65.55;-98.14;-73.89;0;0;0;1;0
-52.22;-41.67;-75.74;-57.70;-109.10;-83.42;-149.62;-114.96;-197.35;-151.92;0;0;0;0;1
-54.15;-42.91;-77.43;-59.33;-112.04;-86.16;-155.04;-119.56;-205.77;-159.30;0;0;0;0;1
-54.72;-43.04;-78.19;-60.05;-113.36;-87.50;-157.68;-121.95;-207.96;-161.60;0;0;0;0;1
-54.54;-42.61;-78.67;-60.59;-114.31;-88.44;-158.35;-122.77;-207.15;-161.37;0;0;0;0;1
-54.47;-41.87;-79.15;-60.58;-115.72;-89.26;-159.23;-122.95;-200.98;-157.18;0;0;0;0;1
