index,SHIPPING_LOCATION,DEPARTMENT,CATEGORY,SUBCATEGORY,BREADCRUMBS,SKU,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRICE_CURRENT,PRODUCT_SIZE,PROMOTION,RunDate,tid
160701,33012,Baking,Flours & Meals,,Baking/Flours & Meals,10402992,https://www.walmart.com/ip/Great-Value-Self-Rising-Flour-5LB-Bag/10402992?fulfillmentIntent=Pickup,"Great Value Self-Rising Flour, 5LB Bag",Great Value,1.96,1.96,5,,2022-09-11 21:20:04,16324505
8534,72034,Baking,Easy to make,,Baking/Easy to make,10315215,https://www.walmart.com/ip/Great-Value-Sugar-Free-Cherry-Gelatin-Dessert-0-3-oz/10315215?fulfillmentIntent=Pickup,"Great Value Sugar Free Cherry Gelatin Dessert, 0.3 oz",Great Value,0.62,0.62,0.3,,2022-09-11 21:20:04,16172338
403275,44035,Pantry,Cooking oils & vinegars,Shop all,Pantry/Cooking oils & vinegars,10320859,https://www.walmart.com/ip/Pompeian-Red-Wine-Vinegar-16-fl-oz/10320859?fulfillmentIntent=Pickup,Pompeian Red Wine Vinegar - 16 fl oz,Pompeian,3.48,3.48,16,,2022-09-11 21:20:04,16567079
388584,60007,Frozen,Frozen Desserts,Shop all,Frozen/Frozen Desserts,195563367,https://www.walmart.com/ip/Ben-Jerry-s-Chocolate-Chip-Cookie-Dough-Frozen-Dessert-Non-Dairy-Certified-Vegan-Ice-Cream-Pint-16-oz/195563367?fulfillmentIntent=Pickup&athbdg=L1300,Ben & Jerry's Chocolate Chip Cookie Dough Frozen Dessert Non-Dairy Certified Vegan Ice Cream Pint 16 oz,Ben & Jerry's,4.48,3.98,16,,2022-09-11 21:20:04,16552388
139978,85225,Snacks,Crackers,,Snacks/Crackers,34893761,https://www.walmart.com/ip/RITZ-Garlic-Butter-Crackers-13-7-oz/34893761?fulfillmentIntent=Pickup,"RITZ Garlic Butter Crackers, 13.7 oz",Ritz,3.58,3.58,13.7,,2022-09-11 21:20:04,16303782
25598,63376,Snacks,Chips,,Snacks/Chips,31952186,https://www.walmart.com/ip/Chex-Mix-Traditional-Savory-Snack-Mix-17-5-oz-Bag/31952186?fulfillmentIntent=Pickup,"Chex Mix Traditional Savory Snack Mix, 17.5 oz Bag",Chex Mix,6.24,6.24,17.5,,2022-09-11 21:20:04,16189402
397275,63376,Coffee,Coffee Additives,Shop All,Coffee/Coffee Additives,634976025,https://www.walmart.com/ip/Great-Value-Sweet-Cream-Coffee-Creamer-32-fl-oz/634976025?fulfillmentIntent=Pickup,"Great Value Sweet Cream Coffee Creamer, 32 fl oz",Great Value,3.98,3.98,32,,2022-09-11 21:20:04,16561079
265174,44035,Breakfast & Cereal,Breakfast Breads,English Muffins,Breakfast & Cereal/Breakfast Breads,10452829,https://www.walmart.com/ip/Pepperidge-Farm-Raisin-Cinnamon-Swirl-Breakfast-Bread-1-lb-Loaf/10452829?fulfillmentIntent=Pickup,"Pepperidge Farm Raisin Cinnamon Swirl Breakfast Bread, 1 lb. Loaf",Pepperidge Farm,3.34,3.34,1,,2022-09-11 21:20:04,16428978
72614,15601,Snacks,Popcorn,,Snacks/Popcorn,195388612,https://www.walmart.com/ip/Smart50-Sea-Salt-Popcorn-5-oz/195388612?fulfillmentIntent=Pickup,"Smart50 Sea Salt Popcorn, 5 oz",Smartfood,3.68,3.68,5,,2022-09-11 21:20:04,16236418
168157,45011,Candy,Chocolate,,Candy/Chocolate,118992683,https://www.walmart.com/ip/BABYRUTH-Share-Pack-3-3oz/118992683?fulfillmentIntent=Pickup,BABYRUTH Share Pack 3.3oz,Baby Ruth,1.68,1.68,3.3,,2022-09-11 21:20:04,16331961
492924,89108,Pantry,"Herbs, spices & seasonings",Shop all,"Pantry/Herbs, spices & seasonings",300313509,https://www.walmart.com/ip/Fire-Smoke-Society-Fish-Monger-Savory-Seafood-Spice-Blend-10-oz/300313509?fulfillmentIntent=Pickup,"Fire & Smoke Society Fish Monger Savory Seafood Spice Blend, 10 oz.",Fire & Smoke Society,6.98,6.98,10,,2022-09-11 21:20:04,16656728
454485,78130,Fresh Produce,Cut Fruits & Vegetables,Shop all,Fresh Produce/Cut Fruits & Vegetables,44419690,https://www.walmart.com/ip/Fresh-Mini-Cucumber-1lb-bag/44419690?fulfillmentIntent=Pickup&athbdg=L1300,"Fresh Mini Cucumber, 1lb bag",PRODUCE UNBRANDED,2.23,1.97,1,,2022-09-11 21:20:04,16618289
427600,90650,Pantry,"Herbs, spices & seasonings",Shop all,"Pantry/Herbs, spices & seasonings",10307343,https://www.walmart.com/ip/Pioneer-Brand-Country-Sausage-Gravy-Mix-2-75-oz/10307343?fulfillmentIntent=Pickup,"Pioneer Brand Country Sausage Gravy Mix, 2.75 oz",Pioneer Brand,1.12,1.12,2.75,,2022-09-11 21:20:04,16591404
